t,z,y,vz,vy,thrust_z,thrust_y,delta,A,e_R,lf,vy_value,wind_y
26.71,1.1930048102591893,-0.1593537112817594,-0.0025804895697092984,-0.002156881318203901,11.778588484007768,0.004386942495548474,1.6379493584509575,1.0,-0.0,0.4114,1.0,0.0
26.72,1.1929974854569407,-0.15936715149737307,-0.0007324802248592217,-0.0013440215613668867,11.99376112138201,0.09753944911082506,0.005449213862827144,1.0,-0.0,0.4114,1.0,0.0
26.73,1.192990313254739,-0.15938036758896693,-0.0007172202201746654,-0.0013216091593843892,11.773831200562148,0.0026880431227337734,2.675809902786179,1.0,-0.0,0.4114,1.0,0.0
26.740000000000002,1.1929832904734166,-0.15939336329592416,-0.0007022781322543654,-0.0012995706957228484,11.773793050550436,0.0026432183187687784,2.6247035912867194,1.0,-0.0,0.4114,1.0,0.0
26.75,1.1930058011445897,-0.15940620933401806,0.0022510671173111858,-0.0012846038093894453,12.126401429947865,0.001794675252813837,0.002171077148486701,1.0,-0.0,0.4114,1.0,0.0
26.76,1.1930278428434467,-0.15941884116146326,0.0022041698857005426,-0.001263182744519974,11.766372332206723,0.0025692076187788905,3.0642072244093472,1.0,-0.0,0.4114,1.0,0.0
26.77,1.1930494253402442,-0.15943126235207566,0.0021582496797484634,-0.001242119061240334,11.76648957528575,0.002526365489039948,3.009429391571467,1.0,-0.0,0.4114,1.0,0.0
26.78,1.193042222346701,-0.15944258208799553,-0.0007202993543109154,-0.0011319735919873791,11.426574115912874,0.013216222022544747,0.004013762817664116,1.0,-0.0,0.4114,1.0,0.0
26.79,1.1930351694155235,-0.1594537130762258,-0.0007052931177627659,-0.0011130988230261699,11.773800748385778,0.0022639471839747583,3.0412583942131084,1.0,-0.0,0.4114,1.0,0.0
26.8,1.1930282634204121,-0.1594646584653863,-0.0006905995111427128,-0.001094538916049135,11.773763232794407,0.0022261976460523397,2.986181211119649,1.0,-0.0,0.4114,1.0,0.0
26.810000000000002,1.1930030471936628,-0.15947845535138874,-0.002521622674934287,-0.0013796886002436224,11.552277220345012,-0.0342189205156895,0.001957632456154319,1.0,-0.0,0.4114,1.0,0.0
