patch,seed,N,arm,regla,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,diam_fin,pasos
52,107341,1500,subconjunto,nematico,4.745,0.051,0,7.95,0,1.051,0.913,4,16
55,113533,1500,completo,nematico,4.938,0.049,1,4.818,1,0.835,0.904,3,17
55,113533,1500,null_tipos,nematico,4.926,0.047,1,3.327,1,0.889,0.919,4,17
55,113533,1500,null_marco,nematico,4.904,0.053,0,7.977,0,1.078,0.901,4,17
55,113533,1500,null_mediado,nematico,nan,0.051,1,4.089,1,0.957,0.915,4,17
55,113533,1500,subconjunto,nematico,5.01,0.047,0,7.963,0,0.924,0.923,4,16
56,115597,1500,completo,nematico,4.725,0.059,1,3.538,1,0.812,0.914,4,17
56,115597,1500,null_tipos,nematico,4.928,0.05,1,3.894,1,0.748,0.9,3,17
56,115597,1500,null_marco,nematico,4.665,0.056,0,7.974,0,0.991,0.918,3,17
56,115597,1500,null_mediado,nematico,5.047,0.051,1,4.867,1,0.953,0.914,3,17
56,115597,1500,subconjunto,nematico,4.708,0.055,0,7.962,0,0.883,0.916,4,16
54,111469,1500,completo,nematico,nan,0.047,1,5.564,1,0.788,0.903,4,17
54,111469,1500,null_tipos,nematico,5.055,0.046,1,3.78,1,0.713,0.915,4,17
54,111469,1500,null_marco,nematico,4.977,0.052,0,7.964,0,0.818,0.909,3,17
54,111469,1500,null_mediado,nematico,5.008,0.046,1,3.175,1,0.782,0.899,4,17
54,111469,1500,subconjunto,nematico,5.131,0.038,0,7.969,0,0.896,0.919,4,16
57,117661,1500,completo,nematico,4.791,0.039,2,4.984,1,0.798,0.915,3,17
57,117661,1500,null_tipos,nematico,4.828,0.053,1,2.841,1,1.006,0.909,4,17
57,117661,1500,null_marco,nematico,nan,0.053,0,7.955,0,0.873,0.917,3,17
57,117661,1500,null_mediado,nematico,5.005,0.049,1,5.135,1,0.913,0.898,3,17
57,117661,1500,subconjunto,nematico,4.981,0.056,0,7.97,0,0.875,0.919,3,16
59,121789,1500,completo,nematico,4.887,0.052,2,4.415,1,0.821,0.911,3,17
59,121789,1500,null_tipos,nematico,4.896,0.055,1,4.338,1,0.837,0.913,3,17
59,121789,1500,null_marco,nematico,4.945,0.043,0,7.972,0,1.15,0.913,3,17
59,121789,1500,null_mediado,nematico,4.667,0.049,2,4.574,1,0.912,0.909,3,17
59,121789,1500,subconjunto,nematico,4.676,0.048,0,7.968,0,0.996,0.919,5,16
58,119725,1500,completo,nematico,5.042,0.052,1,3.337,1,0.645,0.897,3,17
58,119725,1500,null_tipos,nematico,nan,0.044,1,4.228,1,0.799,0.919,2,17
58,119725,1500,null_marco,nematico,nan,0.041,0,7.967,0,0.857,0.916,3,17
58,119725,1500,null_mediado,nematico,4.882,0.053,2,4.196,1,0.748,0.913,3,17
58,119725,1500,subconjunto,nematico,4.707,0.053,0,7.952,0,0.924,0.919,4,16
