var_a,var_b,n,spearman,pearson,abs_spearman
tri_ar_media_todas,n_comp_tri,252,0.9321497275928626,0.8854005640318738,0.9321497275928626
n_comp_tri,modularidad_tri,252,0.9319555908706224,0.8848802448930957,0.9319555908706224
frac_aristas_en_triangulo,n_comp_tri,252,0.9319171206890593,0.8849902054236776,0.9319171206890593
tri_por_nodo_max,tam_medio_comp_tri,252,0.9255923193774238,0.8132497779733523,0.9255923193774238
pendiente_nativa,diam,254,0.91942767626816,0.9248820318834521,0.91942767626816
dist_media_tri,grado_medio,249,-0.9070793958275654,-0.8902884647580233,0.9070793958275654
giant,pendiente_nativa,254,-0.8977279117590594,-0.9082911892251635,0.8977279117590594
grado_medio,diam,254,-0.8965761084187878,-0.8843376205651631,0.8965761084187878
grado_medio,pendiente_nativa,254,-0.8944518093554574,-0.8760299555828398,0.8944518093554574
dist_media_tri,giant,249,-0.8681483254815882,-0.8392315112248184,0.8681483254815882
frac_nodos_en_triangulo,transitividad,254,0.867039414892821,0.803331114522247,0.867039414892821
gini_tri_nodo,clustering,252,-0.8670249447503255,-0.846687384329478,0.8670249447503255
frac_nodos_en_triangulo,clustering,254,0.866659749270719,0.8461279159399494,0.866659749270719
gini_tri_nodo,transitividad,252,-0.8656826108873347,-0.8017397194264992,0.8656826108873347
clustering,n_comp_tri_arista,252,0.8633074526296297,0.8339271639691856,0.8633074526296297
clustering,n_comp_tri,252,0.8629661377007578,0.8249505827453306,0.8629661377007578
dist_media_tri,diam,249,0.8620207570596725,0.895802793640662,0.8620207570596725
n_triangulos,clustering,254,0.8619095030843433,0.8307506576723681,0.8619095030843433
giant,diam,254,-0.856571278703938,-0.8253226897429891,0.856571278703938
tri_ar_max,tri_ar_p99_sop,252,0.8538436676226019,0.7535756576746536,0.8538436676226019
transitividad,n_comp_tri_arista,252,0.8534874736417323,0.7897939711587681,0.8534874736417323
n_triangulos,transitividad,254,0.853400678927007,0.7866962913287279,0.853400678927007
transitividad,n_comp_tri,252,0.8520961196277155,0.7743875035032192,0.8520961196277155
n_aristas,grado_medio,254,0.8180222885747528,0.5984136956980615,0.8180222885747528
n_comp_tri,frac_mayor_comp_tri,252,-0.8100605103246392,-0.5091240095388886,0.8100605103246392
dist_media_tri,pendiente_nativa,249,0.809616892533668,0.8481653274534053,0.809616892533668
n_comp_tri_arista,frac_mayor_comp_tri,252,-0.7798175598433028,-0.490336436079676,0.7798175598433028
n_aristas,giant,254,0.7731681572561319,0.5434659372527938,0.7731681572561319
n_triangulos,frac_mayor_comp_tri,252,-0.7654599199349038,-0.48078513163792264,0.7654599199349038
